state_id,entity_id,state,attributes,event_id,last_changed,last_updated,old_state_id,attributes_id,context_id,context_user_id,context_parent_id,origin_idx
1105914,sensor.energysocket_3c39e72e2972_active_power,0.831,,,,2022-11-12 03:12:02.149773,,84,01GHMX5835F9J1YFQGG8GYGZ1K,,,0
1105915,sensor.energysocket_3c39e72e2972_active_power_l1,0.831,,,,2022-11-12 03:12:02.150767,,85,01GHMX5836JE2HMR2QJ0XA0V50,,,0
1105916,sensor.energysocket_3c39e72e0fb0_active_power,0.282,,,,2022-11-12 03:12:03.147485,,89,01GHMX592BM6F6HSB9MAB5CMZK,,,0
1105917,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.282,,,,2022-11-12 03:12:03.148488,,90,01GHMX592CWFPB3480XX3K5V2S,,,0
1105918,sensor.energysocket_3c39e72e428e_active_power,513.638,,,,2022-11-12 03:12:03.168661,,95,01GHMX5930T2HSQ9N1KVX62T22,,,0
1105919,sensor.energysocket_3c39e72e428e_active_power_l1,513.638,,,,2022-11-12 03:12:03.169644,,96,01GHMX5931KNCA7SN2D7YV47TK,,,0
1105920,sensor.energysocket_3c39e72e2972_active_power,0.893,,,,2022-11-12 03:12:07.160393,1105914,84,01GHMX5CZR79RXAZP8QCSEDBXY,,,0
1105921,sensor.energysocket_3c39e72e2972_active_power_l1,0.893,,,,2022-11-12 03:12:07.161458,1105915,85,01GHMX5CZSMSPR1FXDE5XZ6RGN,,,0
1105922,sensor.energysocket_3c39e72e428e_total_power_import_t1,25.257,,,,2022-11-12 03:12:08.156468,,98,01GHMX5DYW28E2E0HS719ASRSK,,,0
1105923,sensor.energysocket_3c39e72e428e_active_power,41.41,,,,2022-11-12 03:12:08.157550,1105918,95,01GHMX5DYXWMFCMY43HKCWF81J,,,0
1105924,sensor.energysocket_3c39e72e428e_active_power_l1,41.41,,,,2022-11-12 03:12:08.158829,1105919,96,01GHMX5DYYS48G3GMS9QWMAQAX,,,0
1105925,sensor.energysocket_3c39e72e0fb0_active_power,0.273,,,,2022-11-12 03:12:08.166875,1105916,89,01GHMX5DZ6NG6EVGH0Q35GSAZ1,,,0
1105926,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.273,,,,2022-11-12 03:12:08.167859,1105917,90,01GHMX5DZ7TMD7TR6D0JNJVSQ1,,,0
1105928,sensor.energysocket_3c39e72e2972_active_power,0.926,,,,2022-11-12 03:12:12.153758,1105920,84,01GHMX5HVSGZ5D6WQVQK6P07QR,,,0
1105929,sensor.energysocket_3c39e72e2972_active_power_l1,0.926,,,,2022-11-12 03:12:12.154919,1105921,85,01GHMX5HVT515F2J0K0R7V13B3,,,0
1105931,sensor.energysocket_3c39e72e0fb0_active_power,0.194,,,,2022-11-12 03:12:13.154548,1105925,89,01GHMX5JV2ZRAY33QVH1M8R687,,,0
1105932,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.194,,,,2022-11-12 03:12:13.155622,1105926,90,01GHMX5JV3HPTNTQNTZBR60QZ8,,,0
1105933,sensor.energysocket_3c39e72e428e_active_power,39.433,,,,2022-11-12 03:12:13.162441,1105923,95,01GHMX5JVAAVRMT2SHYR0V82AM,,,0
1105934,sensor.energysocket_3c39e72e428e_active_power_l1,39.433,,,,2022-11-12 03:12:13.163214,1105924,96,01GHMX5JVB52FKXPS3A17TF9J0,,,0
1105935,sensor.energysocket_3c39e72e2972_active_power,1.005,,,,2022-11-12 03:12:17.150599,1105928,84,01GHMX5PQYXZ4S86Z29YTBKYMP,,,0
1105936,sensor.energysocket_3c39e72e2972_active_power_l1,1.005,,,,2022-11-12 03:12:17.151668,1105929,85,01GHMX5PQZ3F80VN2D9KZMQ6XE,,,0
1105937,sensor.energysocket_3c39e72e428e_active_power,37.071,,,,2022-11-12 03:12:18.153280,1105933,95,01GHMX5QQ9V106NJ5HFTR2W8FM,,,0
1105938,sensor.energysocket_3c39e72e428e_active_power_l1,37.071,,,,2022-11-12 03:12:18.154241,1105934,96,01GHMX5QQAN7V0X36QKYXTQZ2P,,,0
1105939,sensor.energysocket_3c39e72e0fb0_active_power,0.191,,,,2022-11-12 03:12:18.161733,1105931,89,01GHMX5QQH8PHNHNC0Z71VYACK,,,0
1105940,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.191,,,,2022-11-12 03:12:18.162440,1105932,90,01GHMX5QQJWK3P47YMXYFFV2Q1,,,0
1105941,sensor.energysocket_3c39e72e2972_active_power,0.97,,,,2022-11-12 03:12:22.148631,1105935,84,01GHMX5VM4FH32RPE00G7ZVQD8,,,0
1105942,sensor.energysocket_3c39e72e2972_active_power_l1,0.97,,,,2022-11-12 03:12:22.149718,1105936,85,01GHMX5VM5WE2NWTVH2F4HC6YH,,,0
1105943,sensor.energysocket_3c39e72e0fb0_active_power,0.243,,,,2022-11-12 03:12:23.152533,1105939,89,01GHMX5WKG8345RJ1WS88Q54JP,,,0
1105944,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.243,,,,2022-11-12 03:12:23.153617,1105940,90,01GHMX5WKHVBZVA588FYSBZKS9,,,0
1105945,sensor.energysocket_3c39e72e428e_active_power,36.646,,,,2022-11-12 03:12:23.161568,1105937,95,01GHMX5WKSE3604E18AC7SYMSH,,,0
1105946,sensor.energysocket_3c39e72e428e_active_power_l1,36.646,,,,2022-11-12 03:12:23.162226,1105938,96,01GHMX5WKT89JB2Y2HSNPAT7RD,,,0
1105947,sensor.energysocket_3c39e72e2972_active_power,0.865,,,,2022-11-12 03:12:27.153256,1105941,84,01GHMX60GHQMRR01ETKYV5HAPB,,,0
1105948,sensor.energysocket_3c39e72e2972_active_power_l1,0.865,,,,2022-11-12 03:12:27.154278,1105942,85,01GHMX60GJS3H72620MHTNVYN0,,,0
1105950,sensor.energysocket_3c39e72e428e_active_power,35.383,,,,2022-11-12 03:12:28.154507,1105945,95,01GHMX61FTK1SZDWBYR5649KVQ,,,0
1105951,sensor.energysocket_3c39e72e428e_active_power_l1,35.383,,,,2022-11-12 03:12:28.155775,1105946,96,01GHMX61FVF61H3PAACMB0MJAV,,,0
1105952,sensor.energysocket_3c39e72e0fb0_active_power,0.287,,,,2022-11-12 03:12:28.162211,1105943,89,01GHMX61G22A4G1W826CK248E1,,,0
1105953,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.287,,,,2022-11-12 03:12:28.162874,1105944,90,01GHMX61G29FJWN3CDAY99Z2GJ,,,0
1105954,sensor.energysocket_3c39e72e2972_active_power,0.912,,,,2022-11-12 03:12:32.147390,1105947,84,01GHMX65CKM18KEWAB4PYH114N,,,0
1105955,sensor.energysocket_3c39e72e2972_active_power_l1,0.912,,,,2022-11-12 03:12:32.148461,1105948,85,01GHMX65CMPBFNR8HXSQ94CGQT,,,0
1105956,sensor.energysocket_3c39e72e0fb0_active_power,0.227,,,,2022-11-12 03:12:33.163125,≈1105952,89,01GHMX66CBY8XNGHAEMDY6A519,,,0
1105957,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.227,,,,2022-11-12 03:12:33.164266,1105953,90,01GHMX66CCH13QE4SD48T0W423,,,0
1105958,sensor.energysocket_3c39e72e428e_active_power,35.31,,,,2022-11-12 03:12:33.168392,1105950,95,01GHMX66CGFAWNJR10K8315QYH,,,0
1105959,sensor.energysocket_3c39e72e428e_active_power_l1,35.31,,,,2022-11-12 03:12:33.172322,1105951,96,01GHMX66CMT4CZDTNXCCF3B88S,,,0
1105961,sensor.energysocket_3c39e72e2972_active_power,0.954,,,,2022-11-12 03:12:37.152777,1105954,84,01GHMX6A90D7KEE8914S94C8VC,,,0
1105962,sensor.energysocket_3c39e72e2972_active_power_l1,0.954,,,,2022-11-12 03:12:37.153875,1105955,85,01GHMX6A919EJCDCXW55PNJ2FW,,,0
1105963,sensor.energysocket_3c39e72e0fb0_active_power,0.228,,,,2022-11-12 03:12:38.148320,1105956,89,01GHMX6B841426EC3JZRD77H56,,,0
1105964,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.228,,,,2022-11-12 03:12:38.149329,1105957,90,01GHMX6B85Y3Y64Q4AW7M91SHH,,,0
1105965,sensor.energysocket_3c39e72e428e_active_power,43.738,,,,2022-11-12 03:12:38.158221,1105958,95,01GHMX6B8EJJEH6489ZQFY7779,,,0
1105966,sensor.energysocket_3c39e72e428e_active_power_l1,43.738,,,,2022-11-12 03:12:38.158875,1105959,96,01GHMX6B8EJJN96GAQWR5WKR45,,,0
1105968,sensor.energysocket_3c39e72e428e_active_power,11.036,,,,2022-11-12 03:12:43.159164,1105965,95,01GHMX6G4QT8H0FEF3YE470X4Q,,,0
1105969,sensor.energysocket_3c39e72e428e_active_power_l1,11.036,,,,2022-11-12 03:12:43.160366,1105966,96,01GHMX6G4RFB97J5ZZJFP9AP5A,,,0
1105970,sensor.energysocket_3c39e72e0fb0_active_power,0.239,,,,2022-11-12 03:12:43.169023,1105963,89,01GHMX6G51WAK7Y5HQ5QVPZM2W,,,0
1105971,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.239,,,,2022-11-12 03:12:43.169653,1105964,90,01GHMX6G51MKQB0D6R8YZY1PZF,,,0
1105972,sensor.energysocket_3c39e72e2972_active_power,0.943,,,,2022-11-12 03:12:47.154634,1105961,84,01GHMX6M1JRRP14MNYJTFZCWNN,,,0
1105973,sensor.energysocket_3c39e72e2972_active_power_l1,0.943,,,,2022-11-12 03:12:47.155811,1105962,85,01GHMX6M1K9SZMNCEHFF8X02AN,,,0
1105974,sensor.energysocket_3c39e72e0fb0_active_power,0.309,,,,2022-11-12 03:12:48.154159,1105970,89,01GHMX6N0T2ETSZAS0JKFZQ9H9,,,0
1105975,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.309,,,,2022-11-12 03:12:48.155467,1105971,90,01GHMX6N0VPFM3AQZNK8SWRF5H,,,0
1105976,sensor.energysocket_3c39e72e428e_active_power,11.187,,,,2022-11-12 03:12:48.162720,1105968,95,01GHMX6N124D91F9NEAYXH791Z,,,0
1105977,sensor.energysocket_3c39e72e428e_active_power_l1,11.187,,,,2022-11-12 03:12:48.163669,1105969,96,01GHMX6N13M9XXESK06MVW06V6,,,0
1105978,sensor.energysocket_3c39e72e2972_active_power,0.873,,,,2022-11-12 03:12:52.158550,1105972,84,01GHMX6RXY2V1XE221ZB9R7FSR,,,0
1105979,sensor.energysocket_3c39e72e2972_active_power_l1,0.873,,,,2022-11-12 03:12:52.159602,1105973,85,01GHMX6RXZZ32XPV7VFPA3CGGZ,,,0
1105980,sensor.energysocket_3c39e72e428e_active_power,11.199,,,,2022-11-12 03:12:53.190622,1105976,95,01GHMX6SY6C8MZMYC8Y159MTJ5,,,0
1105981,sensor.energysocket_3c39e72e428e_active_power_l1,11.199,,,,2022-11-12 03:12:53.191498,1105977,96,01GHMX6SY7GYQEWRQHBDSDCKMF,,,0
1105982,sensor.energysocket_3c39e72e0fb0_active_power,0.229,,,,2022-11-12 03:12:53.199251,1105974,89,01GHMX6SYF77SA8DJHYA59YY2W,,,0
1105983,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.229,,,,2022-11-12 03:12:53.199872,1105975,90,01GHMX6SYFWPYYZPN019BWB4EK,,,0
1105984,sensor.energysocket_3c39e72e2972_active_power,0.849,,,,2022-11-12 03:12:57.159524,1105978,84,01GHMX6XT7ZTZT20NJGKNRE646,,,0
1105985,sensor.energysocket_3c39e72e2972_active_power_l1,0.849,,,,2022-11-12 03:12:57.160607,1105979,85,01GHMX6XT8CPZEKHDMN7ZFF9F3,,,0
1105986,sensor.energysocket_3c39e72e0fb0_active_power,0.168,,,,2022-11-12 03:12:58.148906,1105982,89,01GHMX6YS49WBF7MAB2YJ7YQJ6,,,0
1105987,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.168,,,,2022-11-12 03:12:58.149919,1105983,90,01GHMX6YS573273BHJWHMMNBMB,,,0
1105988,sensor.energysocket_3c39e72e428e_active_power,10.18,,,,2022-11-12 03:12:58.157771,1105980,95,01GHMX6YSDQ63QN87DEHBVFVTV,,,0
1105989,sensor.energysocket_3c39e72e428e_active_power_l1,10.18,,,,2022-11-12 03:12:58.158444,1105981,96,01GHMX6YSETEKAHGYPMC7S6E21,,,0
1105990,sensor.energysocket_3c39e72e2972_active_power,0.942,,,,2022-11-12 03:13:02.152272,1105984,84,01GHMX72P8QBD1P1KHH90GJ5RT,,,0
1105991,sensor.energysocket_3c39e72e2972_active_power_l1,0.942,,,,2022-11-12 03:13:02.153399,1105985,85,01GHMX72P9FNNHJ9VN0Y1GB2NH,,,0
1105992,sensor.energysocket_3c39e72e428e_active_power,10.659,,,,2022-11-12 03:13:03.154763,1105988,95,01GHMX73NJ253PNM460QS89SWS,,,0
1105993,sensor.energysocket_3c39e72e428e_active_power_l1,10.659,,,,2022-11-12 03:13:03.155830,1105989,96,01GHMX73NKE5D608SJVM2Z16NK,,,0
1105994,sensor.energysocket_3c39e72e0fb0_active_power,0.248,,,,2022-11-12 03:13:03.164066,1105986,89,01GHMX73NWC9H3YPMTZQT6F924,,,0
1105995,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.248,,,,2022-11-12 03:13:03.164689,1105987,90,01GHMX73NWTE6RNZZ5P5NDDT5D,,,0
1105996,sensor.shellyplug_s_4022d8894f0c_power,0.0,,,,2022-11-12 03:13:03.568752,,20,01GHMX742G8N0QBKHS0MKZVSSA,,,0
1105997,sensor.energysocket_3c39e72e2972_active_power,1.011,,,,2022-11-12 03:13:07.154576,1105990,84,01GHMX77JJKM3Z1RQXZ824655Y,,,0
1105998,sensor.energysocket_3c39e72e2972_active_power_l1,1.011,,,,2022-11-12 03:13:07.155679,1105991,85,01GHMX77JKGNZTVJ0QFFDTCYRB,,,0
1105999,sensor.energysocket_3c39e72e0fb0_active_power,0.178,,,,2022-11-12 03:13:08.187440,1105994,89,01GHMX78JVJPTT5HS34HNZFB1F,,,0
1106000,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.178,,,,2022-11-12 03:13:08.188437,1105995,90,01GHMX78JWW98BWH2E05EDSMJN,,,0
1106001,sensor.energysocket_3c39e72e428e_active_power,10.718,,,,2022-11-12 03:13:08.197640,1105992,95,01GHMX78K533N9W5917XY9MV32,,,0
1106002,sensor.energysocket_3c39e72e428e_active_power_l1,10.718,,,,2022-11-12 03:13:08.198296,1105993,96,01GHMX78K60Q8WPX5SGV406GQE,,,0
1106003,sensor.energysocket_3c39e72e2972_active_power,0.962,,,,2022-11-12 03:13:12.156474,1105997,84,01GHMX7CEW5JRX1AGCQ741K0R2,,,0
1106004,sensor.energysocket_3c39e72e2972_active_power_l1,0.962,,,,2022-11-12 03:13:12.157553,1105998,85,01GHMX7CEX3XMNSX74465HAFWJ,,,0
1106005,sensor.energysocket_3c39e72e428e_active_power,10.683,,,,2022-11-12 03:13:13.152881,1106001,95,01GHMX7DE05JQKFKVY1H5FRJ73,,,0
1106006,sensor.energysocket_3c39e72e428e_active_power_l1,10.683,,,,2022-11-12 03:13:13.154165,1106002,96,01GHMX7DE2EE9SW44YECBS9TF4,,,0
1106007,sensor.energysocket_3c39e72e0fb0_active_power,0.177,,,,2022-11-12 03:13:13.164263,1105999,89,01GHMX7DECSX6QWVMBEXEKX0B6,,,0
1106008,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.177,,,,2022-11-12 03:13:13.164989,1106000,90,01GHMX7DECA69JB44D0D7RRMR6,,,0
1106009,sensor.energysocket_3c39e72e2972_active_power,0.882,,,,2022-11-12 03:13:17.162468,1106003,84,01GHMX7HBAFZRNZ5SP0FW3401R,,,0
1106010,sensor.energysocket_3c39e72e2972_active_power_l1,0.882,,,,2022-11-12 03:13:17.163567,1106004,85,01GHMX7HBB78D4890MVW168BN9,,,0
1106011,sensor.energysocket_3c39e72e0fb0_active_power,0.199,,,,2022-11-12 03:13:18.161379,1106007,89,01GHMX7JAHPMD9QZ844G521ZMT,,,0
1106012,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.199,,,,2022-11-12 03:13:18.162434,1106008,90,01GHMX7JAJS6ABHXFHXM5WMQAP,,,0
1106013,sensor.energysocket_3c39e72e428e_active_power,10.785,,,,2022-11-12 03:13:18.169798,1106005,95,01GHMX7JAS0SS0G5P1CMNHZ8BH,,,0
1106014,sensor.energysocket_3c39e72e428e_active_power_l1,10.785,,,,2022-11-12 03:13:18.170453,1106006,96,01GHMX7JAT8HVX560573YECPYG,,,0
1106015,sensor.energysocket_3c39e72e2972_active_power,0.869,,,,2022-11-12 03:13:22.148405,1106009,84,01GHMX7P74FHMWSFN6NKVAXMTF,,,0
1106016,sensor.energysocket_3c39e72e2972_active_power_l1,0.869,,,,2022-11-12 03:13:22.149472,1106010,85,01GHMX7P75XMDQ53MK9EEN5WWK,,,0
1106017,sensor.shellyplug_s_4022d8894f0c_power,0.4,,,,2022-11-12 03:13:22.317389,1105996,20,01GHMX7PCD55H8H7E33AC2T933,,,0
1106018,sensor.energysocket_3c39e72e428e_active_power,10.482,,,,2022-11-12 03:13:23.177597,1106013,95,01GHMX7Q79FT8RJ9ST6WDR67P6,,,0
1106019,sensor.energysocket_3c39e72e428e_active_power_l1,10.482,,,,2022-11-12 03:13:23.178664,1106014,96,01GHMX7Q7AP4ECKHS76T025591,,,0
1106020,sensor.energysocket_3c39e72e0fb0_active_power,0.253,,,,2022-11-12 03:13:23.195482,1106011,89,01GHMX7Q7VTQBFZBDAD123S3WG,,,0
1106021,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.253,,,,2022-11-12 03:13:23.196516,1106012,90,01GHMX7Q7W3SGAGVCJTDS6NFK3,,,0
1106022,sensor.energysocket_3c39e72e2972_active_power,0.924,,,,2022-11-12 03:13:27.155185,1106015,84,01GHMX7V3KYHS8XY2PE4FZPNA1,,,0
1106023,sensor.energysocket_3c39e72e2972_active_power_l1,0.924,,,,2022-11-12 03:13:27.156325,1106016,85,01GHMX7V3M4BSX07MM2FJD4DN9,,,0
1106024,sensor.energysocket_3c39e72e0fb0_active_power,0.278,,,,2022-11-12 03:13:28.150302,1106020,89,01GHMX7W2PQKAEQS3VFQGDAZTA,,,0
1106025,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.278,,,,2022-11-12 03:13:28.151535,1106021,90,01GHMX7W2QKD3D6AFXK32R6SG7,,,0
1106026,sensor.energysocket_3c39e72e428e_active_power,10.74,,,,2022-11-12 03:13:28.159449,1106018,95,01GHMX7W2ZQBDM5TJBPQGBNEFQ,,,0
1106027,sensor.energysocket_3c39e72e428e_active_power_l1,10.74,,,,2022-11-12 03:13:28.160123,1106019,96,01GHMX7W30GA0N5EV0K1WYFJV4,,,0
1106028,sensor.energysocket_3c39e72e2972_active_power,0.968,,,,2022-11-12 03:13:32.158396,1106022,84,01GHMX7ZZYS1FSVWNXBXAB2EY9,,,0
1106029,sensor.energysocket_3c39e72e2972_active_power_l1,0.968,,,,2022-11-12 03:13:32.159496,1106023,85,01GHMX7ZZZR18SCYW6T0YF3XNB,,,0
1106030,sensor.energysocket_3c39e72e428e_active_power,10.674,,,,2022-11-12 03:13:33.151370,1106026,95,01GHMX80YZBNME38CEGS0R5EF3,,,0
1106031,sensor.energysocket_3c39e72e428e_active_power_l1,10.674,,,,2022-11-12 03:13:33.152456,1106027,96,01GHMX80Z07KGZB14A1S1JJG3Z,,,0
1106032,sensor.energysocket_3c39e72e0fb0_active_power,0.272,,,,2022-11-12 03:13:33.159615,1106024,89,01GHMX80Z73P5DAR7Y1TPZ1PZC,,,0
1106033,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.272,,,,2022-11-12 03:13:33.160322,1106025,90,01GHMX80Z8V5TSPDXWSJ00YK90,,,0
1106034,sensor.energysocket_3c39e72e0fb0_active_power,0.297,,,,2022-11-12 03:13:38.152513,1106032,89,01GHMX85V8FQMCWTCY9R6KDE4P,,,0
1106035,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.297,,,,2022-11-12 03:13:38.153449,1106033,90,01GHMX85V9MC551C7SJXRBNKGC,,,0
1106036,sensor.energysocket_3c39e72e428e_active_power,10.717,,,,2022-11-12 03:13:38.161167,1106030,95,01GHMX85VHB8GX4RW5EVGVMH28,,,0
1106037,sensor.energysocket_3c39e72e428e_active_power_l1,10.717,,,,2022-11-12 03:13:38.161853,1106031,96,01GHMX85VH325Q4MCEB3M7D5V0,,,0
1106038,sensor.energysocket_3c39e72e2972_active_power,0.927,,,,2022-11-12 03:13:42.149612,1106028,84,01GHMX89R5MJ0KNW7WD54EVPYN,,,0
1106039,sensor.energysocket_3c39e72e2972_active_power_l1,0.927,,,,2022-11-12 03:13:42.150679,1106029,85,01GHMX89R6AMXW96W4P11JPTWB,,,0
1106040,sensor.energysocket_3c39e72e428e_active_power,11.064,,,,2022-11-12 03:13:43.158932,1106036,95,01GHMX8AQPSXEZ997A6WD52ZFR,,,0
1106041,sensor.energysocket_3c39e72e428e_active_power_l1,11.064,,,,2022-11-12 03:13:43.160071,1106037,96,01GHMX8AQRSFJTA23DN0ZXFEXD,,,0
1106042,sensor.energysocket_3c39e72e0fb0_active_power,0.158,,,,2022-11-12 03:13:43.168515,1106034,89,01GHMX8AR01FBVTZEWX8ZC1QWC,,,0
1106043,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.158,,,,2022-11-12 03:13:43.169166,1106035,90,01GHMX8AR14NG9JJB4XQ1T6MPK,,,0
1106044,sensor.energysocket_3c39e72e2972_active_power,0.86,,,,2022-11-12 03:13:47.156813,1106038,84,01GHMX8EMMGPYQYZVG85633A8M,,,0
1106045,sensor.energysocket_3c39e72e2972_active_power_l1,0.86,,,,2022-11-12 03:13:47.157886,1106039,85,01GHMX8EMN5P26YEKGJBWRXD3Z,,,0
1106046,sensor.energysocket_3c39e72e0fb0_active_power,0.211,,,,2022-11-12 03:13:48.163288,1106042,89,01GHMX8FM3G7KW45E47HQ5MNDP,,,0
1106047,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.211,,,,2022-11-12 03:13:48.164389,1106043,90,01GHMX8FM4PWYW5N9T9S694KCR,,,0
1106048,sensor.energysocket_3c39e72e428e_active_power,10.662,,,,2022-11-12 03:13:48.172843,1106040,95,01GHMX8FMC63TPEWY0CQC8E4S0,,,0
1106049,sensor.energysocket_3c39e72e428e_active_power_l1,10.662,,,,2022-11-12 03:13:48.173500,1106041,96,01GHMX8FMDTZ3NQADXYYZ66V0E,,,0
1106050,sensor.energysocket_3c39e72e2972_active_power,0.923,,,,2022-11-12 03:13:52.161369,1106044,84,01GHMX8KH1SZGFEW6BGW9P7ENV,,,0
1106051,sensor.energysocket_3c39e72e2972_active_power_l1,0.923,,,,2022-11-12 03:13:52.162452,1106045,85,01GHMX8KH2WSXD37FDQ4XXHNJR,,,0
1106052,sensor.energysocket_3c39e72e428e_active_power,10.636,,,,2022-11-12 03:13:53.156843,1106048,95,01GHMX8MG4AT6DR2Y2R3MNKWES,,,0
1106053,sensor.energysocket_3c39e72e428e_active_power_l1,10.636,,,,2022-11-12 03:13:53.157839,1106049,96,01GHMX8MG5QZB7VFZS731FMTY5,,,0
1106054,sensor.energysocket_3c39e72e0fb0_active_power,0.164,,,,2022-11-12 03:13:53.166593,1106046,89,01GHMX8MGECBC0S816YBTEASYG,,,0
1106055,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.164,,,,2022-11-12 03:13:53.167272,1106047,90,01GHMX8MGFVHG6JMVVDFCKDYH4,,,0
1106057,sensor.energysocket_3c39e72e2972_active_power,0.975,,,,2022-11-12 03:13:57.147342,1106050,84,01GHMX8RCVRKFMQ95C9FHNG08X,,,0
1106058,sensor.energysocket_3c39e72e2972_active_power_l1,0.975,,,,2022-11-12 03:13:57.148195,1106051,85,01GHMX8RCWJAAYDJDVRWQZXGJS,,,0
1106059,sensor.energysocket_3c39e72e0fb0_active_power,0.328,,,,2022-11-12 03:13:58.149104,1106054,89,01GHMX8SC598CVB327G6DB2VE4,,,0
1106060,sensor.energysocket_3c39e72e0fb0_active_power_l1,0.328,,,,2022-11-12 03:13:58.149939,1106055,90,01GHMX8SC5MGT56E7C464FC80A,,,0
1106061,sensor.energysocket_3c39e72e428e_active_power,10.701,,,,2022-11-12 03:13:58.157291,1106052,95,01GHMX8SCD9YCVHW676JJZWQFN,,,0
1106062,sensor.energysocket_3c39e72e428e_active_power_l1,10.701,,,,2022-11-12 03:13:58.157996,1106053,96,01GHMX8SCDKEGJFS8RQCKHN6FM,,,0
1106063,sensor.energysocket_3c39e72e2972_active_power,0.958,,,,2022-11-12 03:14:02.161739,1106057,84,01GHMX8X9HCV21RJ5V9ZQXFG87,,,0
1106064,sensor.energysocket_3c39e72e2972_active_power_l1,0.958,,,,2022-11-12 03:14:02.162789,1106058,85,01GHMX8X9JV3R0MV1QVG0VQ5TY,,,0
1106065,sensor.energysocket_3c39e72e428e_total_power_import_t1,25.258,,,,2022-11-12 03:14:03.149388,1105922,98,01GHMX8Y8DDA6R0Z09CXZ4BYDK,,,0
1106066,sensor.energysocket_3c39e72e428e_active_power,10.765,,,,2022-11-12 03:14:03.150416,1106061,95,01GHMX8Y8EKEN30KN46ZFNQKE0,,,0
1106067,sensor.energysocket_3c39e72e428e_active_power_l1,10.765,,,,2022-11-12 03:14:03.151254,1106062,96,01GHMX8Y8F8BYAK4978A2EB7D9,,,0
